time_s,"pressure_(0,0)_Pa","pressure_(1,0)_Pa","pressure_(2,0)_Pa","pressure_(5,0)_Pa","pressure_(10,0)_Pa",pressure_gemessen_BH10_Pa
2500.0,0.0,0.0,0.0,0.0,0.0,23290.618367662
2510.0,468.8802565226404,215.0205764349251,113.15227310697924,31.39518737813497,4.549779832266562,17467.96377574511
2520.0,546.9541149508309,286.1114217017769,172.93416254345777,62.71216734012354,12.948837078987138,11645.309183829999
2530.0,586.2212939437369,324.3532677422714,208.7339199110732,87.75731241647337,22.94542319519771,11645.309183829999
2540.0,612.493602437355,350.25523313058085,233.6908667737813,107.61227861952344,33.086368752783955,5822.654591914888
2550.0,632.2349845619416,369.8074941687401,252.75155819986415,123.79143308825832,42.73986280606719,5822.654591914888
2560.0,648.0456251940595,385.5036273043876,268.1477591537701,137.35692732105807,51.70615918627024,5240.389132718097
2570.0,661.2308458147374,398.61213112909695,281.05448549537266,149.00318645507096,59.968012784455,5822.654591914888
2580.0,672.5384540761295,409.86476683018657,292.1621731845787,159.19192263805598,67.57478826050954,-10480.778265451001
2590.0,682.4366281266991,419.7216153908952,301.90988328487435,168.24063731968124,74.59450365522339,-11645.309183830443
2600.0,691.2378592012604,428.4906451451221,310.5937809393229,176.37525106969002,81.0953345894584,-11645.309183830443
2610.0,699.1610822391987,436.38806796615927,318.4229448367028,183.7615301384348,87.13921336121662,-11645.309183830443
2620.0,706.3656298131874,443.5714794191047,325.55040763690954,190.5243894926849,92.78024461865724,-11645.309183830443
2630.0,712.9710666599331,450.1592840569127,332.0915199484647,196.76014762951127,98.06494766130608,-11645.309183830443
2640.0,719.0694085246113,456.24269310028455,338.135372085422,202.54456026929807,103.03310705453364,-11645.309183830443
2650.0,724.7329835376323,461.8934591414476,343.75219778669924,207.9382439913049,107.71874496700228,-5822.654591915555
2660.0,281589.29333361244,129264.4943288805,68127.2099340559,19018.70767527048,2837.4691517923598,1159872.794709608
2670.0,328360.49139216257,171852.85777973823,103941.48306404936,37782.329897863696,7872.708491147419,1647228.984052852
2680.0,351886.19739701,194764.3807627404,125390.17217267369,52788.85580547871,13864.661103906616,1726999.3519620856
