time_s,value_axis_units
2499.9999999999995,-1.82997383631667
2500.7490636704115,-1.82997383631667
2501.4981273408234,-1.82997383631667
2502.2471910112354,-1.8357964909085869
2502.9962546816473,-1.8357964909085869
2503.7453183520593,-1.8357964909085869
2504.494382022471,-1.8357964909085869
2505.243445692883,-1.8357964909085869
2505.992509363295,-1.8357964909085869
2506.741573033707,-1.8357964909085869
2507.4906367041194,-1.8357964909085869
2508.2397003745314,-1.8357964909085869
2508.9887640449433,-1.8357964909085869
2509.7378277153553,-1.8357964909085869
2510.486891385767,-1.8357964909085869
2511.235955056179,-1.841619145500502
2511.985018726591,-1.841619145500502
2512.734082397003,-1.8357964909085869
2513.483146067415,-1.8357964909085869
2514.232209737827,-1.8357964909085869
2514.9812734082393,-1.8357964909085869
2515.7303370786512,-1.8357964909085869
2516.479400749063,-1.841619145500502
2517.228464419475,-1.841619145500502
2517.977528089887,-1.841619145500502
2518.726591760299,-1.841619145500502
2519.475655430711,-1.841619145500502
2520.224719101123,-1.841619145500502
2520.973782771535,-1.841619145500502
2521.722846441947,-1.841619145500502
2522.471910112359,-1.841619145500502
2523.220973782771,-1.841619145500502
2523.970037453183,-1.841619145500502
2524.719101123595,-1.841619145500502
2525.468164794007,-1.841619145500502
2526.217228464419,-1.841619145500502
2526.966292134831,-1.841619145500502
2527.715355805243,-1.841619145500502
2528.4644194756547,-1.841619145500502
2529.2134831460667,-1.841619145500502
2529.9625468164786,-1.841619145500502
2530.711610486891,-1.841619145500502
2531.460674157303,-1.841619145500502
2532.209737827715,-1.841619145500502
2532.958801498127,-1.841619145500502
2533.707865168539,-1.847441800092417
2534.4569288389507,-1.841619145500502
2535.2059925093627,-1.841619145500502
2535.9550561797746,-1.841619145500502
2536.7041198501865,-1.841619145500502
2537.4531835205985,-1.841619145500502
2538.2022471910104,-1.841619145500502
2538.951310861423,-1.847441800092417
2539.7003745318348,-1.847441800092417
2540.4494382022467,-1.847441800092417
2541.1985018726587,-1.847441800092417
2541.9475655430706,-1.847441800092417
2542.6966292134825,-1.847441800092417
2543.4456928838945,-1.841619145500502
2544.1947565543064,-1.847441800092417
2544.9438202247184,-1.847441800092417
2545.6928838951303,-1.847441800092417
2546.4419475655427,-1.847441800092417
2547.1910112359546,-1.847441800092417
2547.9400749063666,-1.847441800092417
2548.6891385767785,-1.847441800092417
2549.4382022471905,-1.847441800092417
2550.1872659176024,-1.847441800092417
2550.9363295880144,-1.847441800092417
2551.6853932584263,-1.847441800092417
2552.4344569288382,-1.847441800092417
2553.18352059925,-1.847441800092417
2553.9325842696626,-1.847441800092417
2554.6816479400745,-1.847441800092417
2555.4307116104865,-1.847441800092417
2556.1797752808984,-1.847441800092417
2556.9288389513104,-1.847441800092417
2557.6779026217223,-1.847441800092417
